,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
158,1000-1499,Propane,"Wood Stud, R-11",68F,16639,15 ACH50,,Non-Ducted Heating,Renter,1980s,65F,144326,Ambient,"Fuel Boiler, 80% AFUE",1,EF 17.6,Electric Standard,3,F6 B6 L6 R6,"Double, Clear, Metal, Air",24956.7600515857,Mobile Home,1,,1980-99,,Wood Frame,Slate,,
159,1500-1999,Electricity,"Wood Stud, R-11",68F,108692,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Owner,1980s,72F,145403,Heated Basement,"ASHP, SEER 15, 8.5 HSPF",2,EF 19.9,Electric Tankless,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",21773.7151584452,Single-Family Detached,2,,1980-99,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",1 Car,
160,500-749,Fuel Oil,"Wood Stud, Uninsulated",70F,73823,10 ACH50,,Non-Ducted Heating,Owner,1950s,72F,148891,Slab,"Fuel Boiler, 80% AFUE",7,EF 17.6,FIXME Fuel Oil Indirect,5,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",35844.9364506241,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Unvented Attic
161,2500-2999,Natural Gas,"Wood Stud, R-7",70F,149501,15 ACH50,,Non-Ducted Heating,Owner,1970s,75F,149013,Heated Basement,"Fuel Boiler, 80% AFUE",3,EF 19.9,Natural Gas Standard,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",69408.9007620979,Single-Family Detached,2,,1960-79,Room AC,Wood Frame,Wood Shingles,2 Car,Vented Attic
162,2500-2999,Fuel Oil,"Wood Stud, Uninsulated",68F,27012,20 ACH50,"10% Leakage to Outside, R-4",Ducted Heating,Owner,1950s,70F,151012,Slab,"Fuel Furnace, 80% AFUE",1,EF 19.9,Electric Standard,5,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",80089.8759145245,Single-Family Detached,2,,1940-59,Central AC,Wood Frame,Composition Shingles,2 Car,
163,1500-1999,Natural Gas,"Wood Stud, R-7",68F,189249,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1970s,65F,151069,Unheated Basement,"Fuel Furnace, 92.5% AFUE",3,EF 17.6,Natural Gas Standard,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",36221.2397047252,Single-Family Attached,2,,1960-79,,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
164,1000-1499,Natural Gas,"Wood Stud, Uninsulated",78F,110733,40 ACH50,,Non-Ducted Heating,Owner,1960s,70F,151163,Ambient,"Fuel Boiler, 80% AFUE",4,EF 10.5,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",73093.6833273732,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Composition Shingles,,Vented Attic
165,2000-2499,Propane,"Wood Stud, R-19",68F,47457,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,151492,Unvented Crawlspace,"Fuel Furnace, 80% AFUE",3,EF 6.7,Electric Standard,4,F12 B12 L12 R12,"Single, Clear, Non-metal",48271.4428969965,Single-Family Detached,2,,1980-99,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
166,2000-2499,Natural Gas,"Wood Stud, Uninsulated",65F,74877,15 ACH50,,Non-Ducted Heating,Owner,<1940,75F,151659,Unheated Basement,"Fuel Boiler, 80% AFUE",2,EF 17.6,Natural Gas Standard,5,F12 B12 L12 R12,"Single, Clear, Non-metal",61406.009048905,Single-Family Detached,3,,<1940,Room AC,Wood Frame,Composition Shingles,,Finished Attic or Cathedral Ceilings
167,1000-1499,Natural Gas,"Wood Stud, R-7",55F,0,25 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1970s,70F,152018,Ambient,"Fuel Boiler, 80% AFUE",0,EF 19.9,Electric Premium,3,F18 B18 L18 R18,"Single, Clear, Metal",21859.8780530758,Mobile Home,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
168,1500-1999,Electricity,"Wood Stud, Uninsulated",70F,89096,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Owner,1950s,70F,153579,Heated Basement,"ASHP, SEER 10, 6.2 HSPF",2,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal",37979.3730546884,Single-Family Detached,2,,1940-59,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",1 Car,
169,1500-1999,Other Fuel,"Wood Stud, R-11",68F,108692,15 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1980s,75F,153839,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,FIXME Fuel Oil Indirect,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",11248.0676732098,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,,Vented Attic
170,0-499,Fuel Oil,"Wood Stud, R-19",55F,0,6 ACH50,,Non-Ducted Heating,Not Available,1990s,70F,155005,Ambient,"Fuel Boiler, 80% AFUE",0,EF 17.6,Electric Tankless,2,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",2798.82872014472,Mobile Home,1,,1980-99,Room AC,Wood Frame,"Metal, Dark",,
171,4000+,Propane,"Wood Stud, Uninsulated",65F,68718,4 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,72F,155614,Heated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Propane Standard,5,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",70560.6700678747,Single-Family Detached,2,,1960-79,Central AC,Wood Frame,Composition Shingles,2 Car,
172,2500-2999,Other Fuel,"Wood Stud, Uninsulated",68F,169093,20 ACH50,,Non-Ducted Heating,Owner,<1940,75F,158893,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Other Fuel,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",7994.68572322805,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
173,2500-2999,Natural Gas,"Wood Stud, Uninsulated",68F,297129,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1940s,67F,159926,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Standard,5,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",90102.0628848181,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
174,2000-2499,Propane,"Wood Stud, Uninsulated",70F,61887,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,160243,Vented Crawlspace,"Fuel Furnace, 80% AFUE",3,EF 17.6,Electric Premium,3,F9 B9 L9 R9,"Single, Clear, Non-metal",71317.6726421295,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,Vented Attic
175,500-749,Propane,"Brick, 12-in, 3-wythe, Uninsulated",55F,0,25 ACH50,,Ducted Heating,Not Available,1950s,60F,161220,Vented Crawlspace,Shared Heating,0,EF 15.9,Electric Standard,1,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",8141.51432938433,Multi-Family with 2 - 4 Units,2,4.0,1940-59,Room AC,Brick,Composition Shingles,,
176,1000-1499,Fuel Oil,"Wood Stud, R-11",68F,64407,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,70F,166332,Ambient,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Electric Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",20579.4505474934,Mobile Home,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
177,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,149501,20 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1940s,72F,167676,Heated Basement,"Fuel Boiler, 80% AFUE",3,EF 15.9,Electric Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",58653.4855578475,Single-Family Detached,2,,1940-59,Central AC,Wood Frame,Composition Shingles,,Unvented Attic
178,1500-1999,Natural Gas,"Wood Stud, Uninsulated",70F,54746,20 ACH50,,Non-Ducted Heating,Owner,1960s,80F,168154,Unheated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",3,EF 17.6,Natural Gas Premium,3,F12 B12 L12 R12,"Single, Clear, Metal",58366.2759090787,Multi-Family with 2 - 4 Units,2,2.0,1960-79,Room AC,Wood Frame,Wood Shingles,,
179,1500-1999,Propane,"Wood Stud, Uninsulated",68F,61887,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,75F,171668,Vented Crawlspace,"Fuel Furnace, 80% AFUE",3,EF 19.9,Propane Standard,3,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",84306.8755432326,Single-Family Detached,2,,1960-79,Room AC,Wood Frame,Composition Shingles,2 Car,Finished Attic or Cathedral Ceilings
180,3000-3999,Natural Gas,"Wood Stud, Uninsulated",68F,273335,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,173040,Vented Crawlspace,"Fuel Furnace, 80% AFUE",5,EF 17.6,Natural Gas Standard,5,F9 B9 L9 R9,"Single, Clear, Non-metal, Exterior Clear Storm",107869.496514009,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,
181,2000-2499,Propane,"Wood Stud, R-19",70F,64828,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1990s,80F,173400,Slab,"Fuel Furnace, 80% AFUE",4,EF 19.9,Propane Tankless,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",41923.5235170662,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
182,2500-2999,Fuel Oil,"Wood Stud, Uninsulated",68F,107345,8 ACH50,"10% Leakage to Outside, R-4",Ducted Heating,Owner,1960s,68F,175279,Slab,"Fuel Furnace, 80% AFUE",1,EF 17.6,Electric Premium,5,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",58113.0625044499,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
183,1000-1499,Propane,"Wood Stud, R-15",70F,89642,8 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,65F,175357,Ambient,"Fuel Furnace, 92.5% AFUE",4,EF 17.6,Electric Standard,3,F6 B6 L6 R6,"Double, Clear, Metal, Air",26170.6604242391,Mobile Home,1,,2000-09,Central AC,Wood Frame,Composition Shingles,,
184,1000-1499,Natural Gas,"Wood Stud, Uninsulated",67F,87842,30 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,70F,177734,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 19.9,Natural Gas Standard,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",54565.144128945,Single-Family Detached,2,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
185,500-749,Natural Gas,"Wood Stud, Uninsulated",70F,54023,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1960s,68F,177800,Slab,"Fuel Furnace, 92.5% AFUE",1,EF 17.6,Natural Gas Standard,1,F15 B15 L15 R15,"Single, Clear, Non-metal",16016.3339849119,Multi-Family with 2 - 4 Units,2,4.0,1960-79,Central AC,Wood Frame,Composition Shingles,,
186,2000-2499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,89642,15 ACH50,,Non-Ducted Heating,Renter,<1940,80F,178922,Unheated Basement,"Fuel Boiler, 80% AFUE",4,EF 17.6,Natural Gas Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air, Exterior Clear Storm",46445.9032008937,Multi-Family with 2 - 4 Units,1,2.0,<1940,Room AC,Brick,"Asphalt Shingles, Medium",,
187,1000-1499,Natural Gas,"Wood Stud, Uninsulated",55F,0,25 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1960s,75F,182187,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 10.5,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",23208.2980469382,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,1 Car,Unvented Attic
188,3000-3999,Natural Gas,"Wood Stud, R-19",68F,89311,10 ACH50,"10% Leakage to Outside, R-6",Ducted Heating,Renter,2000s,70F,182528,Unheated Basement,"Fuel Furnace, 80% AFUE",6,EF 17.6,Natural Gas Premium,5,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",57210.1105372493,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
189,1500-1999,Other Fuel,"Wood Stud, R-7",70F,42426,25 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,68F,183068,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 15.9,Fuel Oil Premium,4,F9 B9 L9 R9,"Single, Clear, Non-metal, Exterior Clear Storm",12066.3221011307,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,
190,1000-1499,Other Fuel,"Wood Stud, Uninsulated",75F,61887,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,68F,183553,Unheated Basement,"Fuel Furnace, 60% AFUE",3,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air, Exterior Clear Storm",12013.8623795699,Single-Family Detached,2,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
191,2500-2999,Other Fuel,"Wood Stud, Uninsulated",70F,74986,15 ACH50,"10% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,76F,184636,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",5,EF 17.6,Electric Standard,5,F18 B18 L18 R18,"Double, Clear, Metal, Air",22752.8656038906,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Metal, Dark",1 Car,Finished Attic or Cathedral Ceilings
192,1000-1499,Propane,"Wood Stud, Uninsulated",68F,54023,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,70F,184742,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Propane Standard,3,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",35097.6052216849,Single-Family Detached,1,,1940-59,,Wood Frame,Composition Shingles,,Vented Attic
193,750-999,Other Fuel,"Wood Stud, Uninsulated",70F,47457,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,65F,184851,Unheated Basement,"Fuel Furnace, 60% AFUE",1,EF 10.2,Electric Standard,2,F9 B9 L9 R9,"Single, Clear, Non-metal",9668.41460498161,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
194,1000-1499,Natural Gas,"Wood Stud, Uninsulated",62F,27012,20 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Renter,1940s,72F,186093,Slab,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Premium,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",29304.1763065204,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
195,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,82516,20 ACH50,,Non-Ducted Heating,Owner,<1940,65F,186407,Heated Basement,"Fuel Boiler, 80% AFUE",3,EF 19.9,Natural Gas Standard,4,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",51485.5533235753,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,
196,3000-3999,Fuel Oil,"Wood Stud, R-11",68F,297129,15 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1980s,75F,186438,Slab,"Fuel Furnace, 80% AFUE",1,EF 17.6,FIXME Fuel Oil Indirect,4,F18 B18 L18 R18,"Double, Clear, Metal, Air",86744.9337759953,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
197,2500-2999,Natural Gas,"Wood Stud, Uninsulated",65F,110733,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,187074,Heated Basement,"Fuel Furnace, 80% AFUE",4,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Metal, Air",74918.0507391953,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,2 Car,
198,750-999,Natural Gas,"Wood Stud, R-7",75F,50507,40 ACH50,,Non-Ducted Heating,Renter,1970s,75F,189517,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,FIXME Fuel Oil Indirect,2,F30 B30 L30 R30,"Single, Clear, Non-metal",48423.8398534861,Multi-Family with 5+ Units,20,16.0,1960-79,Room AC,Steel Frame,"Asphalt Shingles, Medium",,
199,3000-3999,Natural Gas,"Wood Stud, Uninsulated",65F,169054,15 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1960s,70F,189956,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",3,EF 19.9,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",89580.9825220519,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
200,0-499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",75F,12655,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,70F,191102,Unheated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Standard,2,F9 B9 L9 R9,"Single, Clear, Non-metal",20379.8691487061,Multi-Family with 2 - 4 Units,1,2.0,<1940,Central AC,Brick,"Metal, Dark",,
201,0-499,Natural Gas,"Wood Stud, R-7",55F,0,15 ACH50,"10% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1970s,68F,191317,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 19.9,Natural Gas Standard,2,F9 B9 L9 R9,"Single, Clear, Metal",7601.97048919727,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,
202,1000-1499,Natural Gas,"Wood Stud, Uninsulated",65F,54667,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,68F,191406,Unheated Basement,"Fuel Furnace, 92.5% AFUE",5,EF 15.9,Natural Gas Standard,3,F9 B9 L9 R9,"Single, Clear, Non-metal",39852.0971930889,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Metal, Dark",,
203,750-999,Electricity,"Brick, 12-in, 3-wythe, R-19",68F,15960,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Renter,1980s,67F,191466,Unheated Basement,"ASHP, SEER 13, 7.7 HSPF",2,EF 17.6,Electric Standard,2,F15 B15 L15 R15,"Double, Clear, Metal, Air",5906.84741932114,Multi-Family with 5+ Units,3,67.0,1980-99,Ducted Heat Pump,Brick,"Asphalt Shingles, Medium",,
204,4000+,Propane,"Wood Stud, Uninsulated",67F,55104,5 ACH50,,Non-Ducted Heating,Owner,<1940,70F,193094,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 17.6,Electric Standard,4,F12 B12 L12 R12,"Single, Clear, Metal",72746.101038149,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Finished Attic or Cathedral Ceilings
205,2000-2499,Natural Gas,"Wood Stud, R-11",72F,92315,4 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,2000s,72F,194901,Heated Basement,"Fuel Furnace, 92.5% AFUE",3,EF 17.6,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",26676.5010913563,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
206,1000-1499,Electricity,"Wood Stud, R-7",55F,0,25 ACH50,,Non-Ducted Heating,Not Available,1970s,65F,195639,Heated Basement,"Electric Baseboard, 100% Efficiency",0,EF 19.9,Electric Standard,5,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",11187.6950327544,Single-Family Detached,1,,1960-79,,Wood Frame,Wood Shingles,,Vented Attic
207,1000-1499,Electricity,"Wood Stud, R-11",55F,0,10 ACH50,,Non-Ducted Heating,Not Available,1980s,68F,196712,Unheated Basement,"Electric Boiler, 100% AFUE",0,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Double, Clear, Metal, Air",8714.7613426412,Multi-Family with 2 - 4 Units,2,2.0,1980-99,Room AC,Wood Frame,Wood Shingles,,
208,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,13633,30 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,68F,200729,Heated Basement,"Fuel Furnace, 76% AFUE",1,EF 19.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",68168.0378509887,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
209,500-749,Natural Gas,"Wood Stud, R-11",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1980s,75F,201567,Ambient,"Fuel Furnace, 80% AFUE",0,EF 17.6,Electric Premium,2,F15 B15 L15 R15,"Single, Clear, Metal",10138.793672608,Mobile Home,1,,1980-99,Central AC,Wood Frame,"Metal, Dark",,
210,1500-1999,Electricity,"Wood Stud, R-11",70F,54023,7 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,202613,Unheated Basement,"Electric Furnace, 100% AFUE",1,EF 19.9,Electric Standard,3,F12 B12 L12 R12,"Double, Clear, Metal, Air",27598.5026781181,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
211,2500-2999,Natural Gas,"Wood Stud, Uninsulated",68F,110733,10 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,78F,203635,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 21.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",87195.6770819202,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
212,3000-3999,Natural Gas,"Wood Stud, R-11",62F,108692,6 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,70F,203738,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",35158.5640042808,Single-Family Detached,2,,2010s,Central AC,Wood Frame,"Tile, Clay or Ceramic",2 Car,Vented Attic
213,2500-2999,Natural Gas,"Wood Stud, Uninsulated",68F,267342,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,203787,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 17.6,Natural Gas Premium,4,F12 B12 L12 R12,"Single, Clear, Non-metal",100373.910823284,Single-Family Detached,3,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
214,0-499,Natural Gas,"Wood Stud, R-7",55F,0,7 ACH50,,Non-Ducted Heating,Not Available,1970s,68F,204164,Slab,"Fuel Boiler, 80% AFUE",0,EF 17.6,Natural Gas Standard,1,F18 B18 L18 R18,"Double, Clear, Metal, Air",2875.61334052984,Multi-Family with 5+ Units,3,67.0,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
215,1000-1499,Electricity,"Wood Stud, Uninsulated",68F,64407,20 ACH50,,Non-Ducted Heat Pump,Owner,<1940,80F,204919,Unheated Basement,"MSHP, SEER 14.5, 8.2 HSPF",1,EF 19.9,Electric Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",17203.5648901796,Single-Family Detached,1,,<1940,Non-Ducted Heat Pump,Wood Frame,Composition Shingles,,Vented Attic
216,1500-1999,Electricity,"Wood Stud, R-19",72F,11140,10 ACH50,"20% Leakage to Outside, R-4",Ducted Heat Pump,Renter,1990s,70F,205007,Slab,"ASHP, SEER 13, 7.7 HSPF",1,EF 17.6,Electric Standard,3,F6 B6 L6 R6,"Single, Clear, Non-metal",27089.7313002991,Single-Family Detached,2,,1980-99,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
217,0-499,Natural Gas,"Wood Stud, R-11",75F,13633,8 ACH50,,Non-Ducted Heating,Renter,2000s,60F,205226,Unheated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",1,EF 17.6,Natural Gas Standard,1,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",4955.83179661227,Multi-Family with 5+ Units,6,67.0,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
218,1000-1499,Fuel Oil,"Wood Stud, R-7",70F,92315,30 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,75F,205264,Ambient,"Fuel Furnace, 80% AFUE",3,EF 21.9,Electric Tankless,2,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",44668.7202313694,Mobile Home,1,,1960-79,,Wood Frame,"Asphalt Shingles, Medium",,
219,1000-1499,Electricity,"Wood Stud, R-11",70F,16639,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Owner,1990s,72F,205267,Ambient,"ASHP, SEER 13, 7.7 HSPF",1,EF 17.6,Electric Premium,4,F12 B12 L12 R12,"Single, Clear, Metal",18884.6205486874,Mobile Home,1,,1980-99,Ducted Heat Pump,Wood Frame,Composition Shingles,,
220,750-999,Fuel Oil,"Wood Stud, Uninsulated",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1960s,65F,205272,Ambient,"Fuel Furnace, 92.5% AFUE",0,EF 17.6,Electric Standard,2,F15 B15 L15 R15,"Double, Clear, Metal, Air",12570.6974128971,Mobile Home,1,,1960-79,Room AC,Wood Frame,Composition Shingles,,
221,500-749,Electricity,"Wood Stud, Uninsulated",55F,0,15 ACH50,,Non-Ducted Heating,Not Available,<1940,60F,206697,Unheated Basement,"Electric Boiler, 100% AFUE",0,EF 17.6,Electric Standard,2,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",11635.8006990477,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Metal, Dark",,
222,1000-1499,Propane,"Wood Stud, R-7",72F,42426,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,70F,207249,Ambient,"Fuel Furnace, 80% AFUE",2,EF 15.9,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",38894.0478646959,Mobile Home,1,,1960-79,Room AC,Wood Frame,Composition Shingles,,
